date,sales,product
2024-09-01,45,tata_salt_1kg
2024-09-02,47,tata_salt_1kg
2024-09-03,46,tata_salt_1kg
2024-09-04,48,tata_salt_1kg
2024-09-05,50,tata_salt_1kg
2024-09-06,52,tata_salt_1kg
2024-09-07,54,tata_salt_1kg
2024-09-08,56,tata_salt_1kg
2024-09-09,58,tata_salt_1kg
2024-09-10,60,tata_salt_1kg
2024-09-11,62,tata_salt_1kg
2024-09-12,65,tata_salt_1kg
2024-09-13,67,tata_salt_1kg
2024-09-14,70,tata_salt_1kg
2024-09-15,72,tata_salt_1kg
2024-09-16,75,tata_salt_1kg
2024-09-17,78,tata_salt_1kg
2024-09-18,80,tata_salt_1kg
2024-09-19,82,tata_salt_1kg
2024-09-20,85,tata_salt_1kg
2024-09-21,88,tata_salt_1kg
2024-09-22,90,tata_salt_1kg
2024-09-23,92,tata_salt_1kg
2024-09-24,95,tata_salt_1kg
2024-09-25,98,tata_salt_1kg
2024-09-26,100,tata_salt_1kg
2024-09-27,103,tata_salt_1kg
2024-09-28,105,tata_salt_1kg
2024-09-29,108,tata_salt_1kg
2024-09-30,110,tata_salt_1kg
2024-09-01,120,parle_g_biscuit
2024-09-02,115,parle_g_biscuit
2024-09-03,110,parle_g_biscuit
2024-09-04,108,parle_g_biscuit
2024-09-05,105,parle_g_biscuit
2024-09-06,102,parle_g_biscuit
2024-09-07,100,parle_g_biscuit
2024-09-08,98,parle_g_biscuit
2024-09-09,95,parle_g_biscuit
2024-09-10,92,parle_g_biscuit
2024-09-11,90,parle_g_biscuit
2024-09-12,88,parle_g_biscuit
2024-09-13,85,parle_g_biscuit
2024-09-14,82,parle_g_biscuit
2024-09-15,80,parle_g_biscuit
2024-09-16,78,parle_g_biscuit
2024-09-17,75,parle_g_biscuit
2024-09-18,73,parle_g_biscuit
2024-09-19,70,parle_g_biscuit
2024-09-20,68,parle_g_biscuit
2024-09-21,65,parle_g_biscuit
2024-09-22,63,parle_g_biscuit
2024-09-23,60,parle_g_biscuit
2024-09-24,58,parle_g_biscuit
2024-09-25,55,parle_g_biscuit
2024-09-26,53,parle_g_biscuit
2024-09-27,50,parle_g_biscuit
2024-09-28,48,parle_g_biscuit
2024-09-29,45,parle_g_biscuit
2024-09-30,42,parle_g_biscuit
2024-09-01,35,amul_milk_500ml
2024-09-02,36,amul_milk_500ml
2024-09-03,35,amul_milk_500ml
2024-09-04,37,amul_milk_500ml
2024-09-05,36,amul_milk_500ml
2024-09-06,38,amul_milk_500ml
2024-09-07,37,amul_milk_500ml
2024-09-08,36,amul_milk_500ml
2024-09-09,38,amul_milk_500ml
2024-09-10,37,amul_milk_500ml
2024-09-11,36,amul_milk_500ml
2024-09-12,38,amul_milk_500ml
2024-09-13,37,amul_milk_500ml
2024-09-14,39,amul_milk_500ml
2024-09-15,38,amul_milk_500ml
2024-09-16,37,amul_milk_500ml
2024-09-17,38,amul_milk_500ml
2024-09-18,39,amul_milk_500ml
2024-09-19,38,amul_milk_500ml
2024-09-20,37,amul_milk_500ml
2024-09-21,38,amul_milk_500ml
2024-09-22,39,amul_milk_500ml
2024-09-23,38,amul_milk_500ml
2024-09-24,37,amul_milk_500ml
2024-09-25,38,amul_milk_500ml
2024-09-26,39,amul_milk_500ml
2024-09-27,38,amul_milk_500ml
2024-09-28,37,amul_milk_500ml
2024-09-29,38,amul_milk_500ml
2024-09-30,39,amul_milk_500ml
2024-09-01,20,colgate_toothpaste
2024-09-02,18,colgate_toothpaste
2024-09-03,22,colgate_toothpaste
2024-09-04,25,colgate_toothpaste
2024-09-05,30,colgate_toothpaste
2024-09-06,28,colgate_toothpaste
2024-09-07,26,colgate_toothpaste
2024-09-08,24,colgate_toothpaste
2024-09-09,22,colgate_toothpaste
2024-09-10,20,colgate_toothpaste
2024-09-11,23,colgate_toothpaste
2024-09-12,27,colgate_toothpaste
2024-09-13,32,colgate_toothpaste
2024-09-14,35,colgate_toothpaste
2024-09-15,33,colgate_toothpaste
2024-09-16,30,colgate_toothpaste
2024-09-17,28,colgate_toothpaste
2024-09-18,25,colgate_toothpaste
2024-09-19,22,colgate_toothpaste
2024-09-20,20,colgate_toothpaste
2024-09-21,24,colgate_toothpaste
2024-09-22,28,colgate_toothpaste
2024-09-23,33,colgate_toothpaste
2024-09-24,38,colgate_toothpaste
2024-09-25,36,colgate_toothpaste
2024-09-26,32,colgate_toothpaste
2024-09-27,28,colgate_toothpaste
2024-09-28,25,colgate_toothpaste
2024-09-29,22,colgate_toothpaste
2024-09-30,20,colgate_toothpaste
2024-09-01,15,maggi_noodles
2024-09-02,16,maggi_noodles
2024-09-03,18,maggi_noodles
2024-09-04,20,maggi_noodles
2024-09-05,22,maggi_noodles
2024-09-06,25,maggi_noodles
2024-09-07,28,maggi_noodles
2024-09-08,30,maggi_noodles
2024-09-09,33,maggi_noodles
2024-09-10,36,maggi_noodles
2024-09-11,40,maggi_noodles
2024-09-12,43,maggi_noodles
2024-09-13,46,maggi_noodles
2024-09-14,50,maggi_noodles
2024-09-15,53,maggi_noodles
2024-09-16,56,maggi_noodles
2024-09-17,60,maggi_noodles
2024-09-18,63,maggi_noodles
2024-09-19,66,maggi_noodles
2024-09-20,70,maggi_noodles
2024-09-21,73,maggi_noodles
2024-09-22,76,maggi_noodles
2024-09-23,80,maggi_noodles
2024-09-24,83,maggi_noodles
2024-09-25,86,maggi_noodles
2024-09-26,90,maggi_noodles
2024-09-27,93,maggi_noodles
2024-09-28,96,maggi_noodles
2024-09-29,100,maggi_noodles
2024-09-30,103,maggi_noodles
